"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.08394 0.6445 0.6673
0.08403 0.6391 0.6613
0.08413 0.6733 0.6931
0.08423 0.6379 0.6613
0.08433 0.7201 0.7369
0.08443 0.6265 0.6565
0.08453 0.6427 0.6655
0.08463 0.6469 0.6685
0.08473 0.6541 0.6769
0.08483 0.6307 0.6547
0.08493 0.6319 0.6571
0.08503 0.6468 0.6696
0.08513 0.6253 0.6511
0.08523 0.6367 0.6583
0.08533 0.6445 0.6691
0.08543 0.6475 0.6715
0.08552 0.6307 0.6553
0.08562 0.6505 0.6721
0.08572 0.6487 0.6739
0.08582 0.6475 0.6715
0.08592 0.6649 0.6877
0.08602 0.6427 0.6655
0.08612 0.6517 0.6751
0.08622 0.6385 0.6607
0.08632 0.6499 0.6739
0.08642 0.6421 0.6643
0.08652 0.6265 0.6499
0.08662 0.6343 0.6595
0.08672 0.6703 0.6901
0.08682 0.6415 0.6649
0.08692 0.6475 0.6703
0.08701 0.6391 0.6619
0.08711 0.6439 0.6679
0.08721 0.6493 0.6739
0.08731 0.6493 0.6703
0.08741 0.6493 0.6739
0.08751 0.6582 0.6810
0.08761 0.6589 0.6811
0.08771 0.6205 0.6469
0.08781 0.6601 0.6811
0.08791 0.6703 0.6913
0.08801 0.6739 0.6949
0.08811 0.6817 0.7015
0.08821 0.6679 0.6901
0.08831 0.6307 0.6547
0.08840 0.6367 0.6631
0.08850 0.6613 0.6805
0.08860 0.6445 0.6673
0.08870 0.6595 0.6847
0.08880 0.6571 0.6775
0.08890 0.6493 0.6715
0.08900 0.6421 0.6667
0.08910 0.6541 0.6763
0.08920 0.6421 0.6685
0.08930 0.6577 0.6787
0.08940 0.6481 0.6733
0.08950 0.6529 0.6763
0.08960 0.6703 0.6895
0.08970 0.6559 0.6787
0.08980 0.6547 0.6763
0.08989 0.6463 0.6685
0.08999 0.6312 0.6576
0.09009 0.6175 0.6439
0.09019 0.6685 0.6895
0.09029 0.6535 0.6763
0.09039 0.6439 0.6697
0.09049 0.6613 0.6811
0.09059 0.6475 0.6691
0.09069 0.6451 0.6697
0.09079 0.6487 0.6709
0.09089 0.6517 0.6739
0.09099 0.6463 0.6721
0.09109 0.6721 0.6913
0.09119 0.6625 0.6853
0.09129 0.6505 0.6727
0.09138 0.6775 0.6979
0.09148 0.6373 0.6619
0.09158 0.6691 0.6907
